社格,名前,読み,住所,電話番号,画像,詳細ページのリンク
-,黒尾大明神,くろおだいみょうじん,佐賀県武雄市朝日町中野黒尾,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1158/
-,天満宮（佐賀市鍋島２）,てんまんぐう,佐賀県佐賀市鍋島２,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1126/
-,天満宮（佐賀市鍋島6）,てんまんぐう,佐賀県佐賀市鍋島6-14,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1127/
-,天満宮（佐賀市高木瀬町）,てんまんぐう,佐賀県佐賀市高木瀬町長瀬,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1128/
-,天満宮（佐賀市川副町南里）,てんまんぐう,佐賀県佐賀市川副町南里1959,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1129/
-,天満宮（佐賀市川副町西古賀）,てんまんぐう,佐賀県佐賀市川副町西古賀,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1130/
-,天満宮（佐賀市大和町）,てんまんぐう,佐賀県佐賀市大和町川上大久保,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1131/
-,天満宮（佐賀市金立町金立）,てんまんぐう,佐賀県佐賀市金立町金立1660,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1132/
-,天満宮（佐賀市川副町小々森新村）,てんまんぐう,佐賀県佐賀市川副町小々森新村,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1133/
-,天満宮（佐賀市金立町薬師丸）,てんまんぐう,佐賀県佐賀市金立町薬師丸,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1134/
-,天満神社（佐賀県佐賀市大和町）,てんまんじんじゃ,佐賀県佐賀市大和町久留間吉富,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1135/
-,天満宮（鳥栖市飯田町）,てんまんぐう,佐賀県鳥栖市飯田町169,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1189/
-,牛嶋天満宮,うしじまてんまんぐう,佐賀県佐賀市東佐賀町15 - 30,0952-24-1014,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1200/
-,八坂神社（鳥栖市古野町）,やさかじんじゃ,佐賀県鳥栖市古野町,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1190/
-,道祖神社（佐賀県）,どうそじんじゃ,佐賀県嬉野市塩田町久間,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1191/
-,熊野権現神社,くまのごんげんじんじゃ,佐賀県嬉野市塩田町五町田,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1192/
-,志田神社,しだじんじゃ,佐賀県嬉野市塩田町久間甲3581,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1193/
-,丹生神社（嬉野市塩田町馬場）,たんじょうじんうじゃ,佐賀県嬉野市塩田町馬場下甲3657-3,0954-66-3859,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1194/
-,丹生神社（嬉野市塩田町大草野）,たんじょうじんうじゃ,佐賀県嬉野市塩田町大草野甲456,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1195/
-,天満神社（佐賀県嬉野市）,てんまんじんじゃ,佐賀県嬉野市塩田町久間丁3812,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1196/
-,吉浦神社,よしうらじんじゃ,佐賀県嬉野市塩田町五町田甲4003,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1197/
-,乙宮社,おとみやしゃ,佐賀県小城市牛津町牛津,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1079/
-,山王神社（小城市）,さんのうじんじゃ,佐賀県小城市三日月町堀江島溝,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1080/
-,山王宮,さんのうぐう,佐賀県小城市三日月町長神田,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1081/
県社,須賀神社（小城市）,すがじんじゃ,佐賀県小城市小城町松尾3594,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1082/
-,天満宮（小城市芦刈町芦溝）,てんまんぐう,佐賀県小城市芦刈町芦溝571,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1083/
-,八坂神社（佐賀市柳町）,やさかじんじゃ,佐賀県佐賀市柳町1-16,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1146/
-,海童神社（佐賀市）,かいどうじんじゃ,佐賀県佐賀市川副町犬井道624,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1102/
-,蛎久天満宮,かきひさてんまんぐう,佐賀県佐賀市鍋島町蛎久1448,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1103/
-,松原神社,まつばらじんじゃ,佐賀県佐賀市松原2-10-43,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1104/
-,満穴天満宮,みつあなてんまんぐう,佐賀県佐賀市本庄町末次867,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1105/
-,若宮八幡神社（佐賀県三養基郡）,わかみややちまんぐう,佐賀県三養基郡みやき町東尾2166,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1066/
-,矢俣八幡宮,やまたやちまんぐう,佐賀県三養基郡みやき町西島,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1067/
-,内砥川八幡神社(上宮),うちとがわはちまんじんじゃ,佐賀県小城市牛津町上砥川内砥川695-1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1068/
-,八幡神社中宮,はちまんじんじゃなかみや,佐賀県小城市牛津町下砥川,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1069/
-,八幡社（佐賀県）,はちまんしゃ,佐賀県小城市三日月町織島,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1070/
-,下宮八幡社,しもみやはちまんしゃ,佐賀県小城市牛津町上砥川682,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1071/
-,八幡宮（佐賀市東与賀町）,はちまんぐう,佐賀県佐賀市東与賀町下古賀乙807,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1093/
-,岡山神社,おかやまじんじゃ,佐賀県小城市小城町本町181,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1075/
郷社,沖神社,おきじんじゃ,佐賀県小城市芦刈町浜枝川482,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1076/
-,乙宮神社（佐賀県小城市）,おとみやじんじゃ,佐賀県小城市芦刈町芦溝445,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1078/
村社,日子神社（鳥栖市）,ひこじんじゃ,佐賀県鳥栖市轟木町町屋敷1475,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1179/
-,姫古曽神社,ひめこそうじんじゃ,佐賀県鳥栖市姫方町189,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1180/
-,香椎宮（鳥栖市牛原町）,かしいぐう,佐賀県鳥栖市牛原町945,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1181/
-,永世神社,ながよじんじゃ,佐賀県鳥栖市永吉町452-10,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1182/
-,老松宮（鳥栖市下野町）,おいまつぐう,佐賀県鳥栖市下野町2587,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1183/
-,老松神社（鳥栖市曽根崎町）,おいまつじんじゃ,佐賀県鳥栖市曽根崎町1320,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1184/
郷社,大山祇神社（佐賀県）,おおやまづみじんじゃ,佐賀県鳥栖市河内町谷口2180-1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1186/
-,老松宮（鳥栖市高田町）,おいまつぐう,佐賀県鳥栖市高田町139,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1185/
-,天満宮（鳥栖市儀徳町）,てんまんぐう,佐賀県鳥栖市儀徳町2841-1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1187/
-,天満宮（鳥栖市平田町）,てんまんぐう,佐賀県鳥栖市平田町3102,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1188/
